epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,383.785,1.31407,1.92645,1.64544,0.76235,0.59829,0.63601,0.3022,1.64787,2.01545,2.26988,0.000661939,0.000661939,0.000661939
2,740.667,1.35985,1.559,1.65696,0.59047,0.59153,0.55558,0.21527,1.9816,1.9537,2.51091,0.00128476,0.00128476,0.00128476
3,1096.38,1.36144,1.4204,1.65484,0.6753,0.47009,0.47662,0.18124,2.16406,2.12273,2.82412,0.00186358,0.00186358,0.00186358
4,1452.7,1.32648,1.31287,1.62439,0.69343,0.696,0.75194,0.43877,1.36721,1.23883,1.82693,0.001802,0.001802,0.001802
5,1808.45,1.28317,1.24656,1.58142,0.72005,0.65952,0.71208,0.42751,1.47721,1.39384,1.90581,0.001736,0.001736,0.001736
6,2164.71,1.21621,1.1377,1.5361,0.45182,0.25641,0.27242,0.12584,1.93166,2.27396,2.34255,0.00167,0.00167,0.00167
7,2516.06,1.22943,1.10402,1.54088,0.85284,0.61538,0.77927,0.50121,1.30056,1.14339,1.77502,0.001604,0.001604,0.001604
8,2867.55,1.19292,1.07012,1.51235,0.86804,0.76923,0.84818,0.58012,1.16654,0.87251,1.66187,0.001538,0.001538,0.001538
9,3218.82,1.15687,1.01424,1.48923,0.86494,0.76068,0.85425,0.52325,1.26462,1.04249,1.69091,0.001472,0.001472,0.001472
10,3569.28,1.14539,1.00278,1.47021,0.84461,0.81197,0.88294,0.59516,1.15844,0.80728,1.64928,0.001406,0.001406,0.001406
11,3919.19,1.12927,0.94347,1.46457,0.83801,0.8401,0.91791,0.61267,1.16323,0.70834,1.6476,0.00134,0.00134,0.00134
12,4269.63,1.09147,0.92767,1.42852,0.86779,0.84615,0.88951,0.5789,1.21408,0.83477,1.68601,0.001274,0.001274,0.001274
13,4620.48,1.10952,0.90721,1.43156,0.88573,0.79503,0.89393,0.62621,1.16598,0.76413,1.62109,0.001208,0.001208,0.001208
14,4970.96,1.08625,0.87505,1.41228,0.83752,0.86325,0.91229,0.65782,1.05349,0.70994,1.5279,0.001142,0.001142,0.001142
15,5321.09,1.06748,0.86361,1.40804,0.86222,0.80229,0.89256,0.60847,1.14219,0.79128,1.58712,0.001076,0.001076,0.001076
16,5671.88,1.07758,0.84068,1.40411,0.8853,0.8547,0.90963,0.59069,1.17237,0.73294,1.64081,0.00101,0.00101,0.00101
17,6022.77,1.03916,0.83353,1.40458,0.92055,0.88889,0.91726,0.64295,1.02307,0.66085,1.49064,0.000944,0.000944,0.000944
18,6373.59,1.04031,0.81765,1.39059,0.87818,0.84615,0.92606,0.65891,1.01978,0.66581,1.49172,0.000878,0.000878,0.000878
19,6724.11,1.00272,0.76269,1.36299,0.92115,0.79876,0.91689,0.64168,1.08925,0.65802,1.55403,0.000812,0.000812,0.000812
20,7074.99,1.00941,0.78342,1.36341,0.93323,0.83626,0.92932,0.66719,1.04403,0.62958,1.50726,0.000746,0.000746,0.000746
21,7419.44,0.87528,0.56927,1.37488,0.8948,0.88034,0.93057,0.66592,1.02058,0.63813,1.51289,0.00068,0.00068,0.00068
22,7763.75,0.84845,0.53293,1.33722,0.93438,0.88034,0.95073,0.6789,1.05395,0.59039,1.50666,0.000614,0.000614,0.000614
23,8109.16,0.83697,0.51167,1.32445,0.91743,0.92308,0.95682,0.70069,0.98083,0.55121,1.43912,0.000548,0.000548,0.000548
24,8453.54,0.82612,0.48864,1.32489,0.94051,0.94017,0.96955,0.70607,0.98129,0.52764,1.45253,0.000482,0.000482,0.000482
25,8797.91,0.80267,0.46699,1.29101,0.90722,0.91937,0.95624,0.69561,0.9862,0.53381,1.43454,0.000416,0.000416,0.000416
26,9142.18,0.79582,0.45491,1.28988,0.96462,0.8547,0.93841,0.68813,0.9828,0.55081,1.44074,0.00035,0.00035,0.00035
27,9487.12,0.78585,0.43598,1.29103,0.95934,0.84615,0.9468,0.71189,0.93801,0.51472,1.39522,0.000284,0.000284,0.000284
28,9832.46,0.7699,0.43348,1.26303,0.92963,0.90333,0.95563,0.6987,0.95944,0.52722,1.41973,0.000218,0.000218,0.000218
29,10177.5,0.75209,0.42179,1.25122,0.89218,0.91944,0.95557,0.69961,0.96461,0.50715,1.42735,0.000152,0.000152,0.000152
30,10522,0.73611,0.4126,1.2435,0.91644,0.90598,0.95324,0.70212,0.94861,0.51791,1.41423,8.6e-05,8.6e-05,8.6e-05
